date,improvement,isPartial
2013-01-06,83,False
2013-01-13,86,False
2013-01-20,86,False
2013-01-27,88,False
2013-02-03,93,False
2013-02-10,85,False
2013-02-17,86,False
2013-02-24,93,False
2013-03-03,92,False
2013-03-10,96,False
2013-03-17,95,False
2013-03-24,93,False
2013-03-31,95,False
2013-04-07,94,False
2013-04-14,89,False
2013-04-21,98,False
2013-04-28,97,False
2013-05-05,90,False
2013-05-12,90,False
2013-05-19,87,False
2013-05-26,88,False
2013-06-02,92,False
2013-06-09,87,False
2013-06-16,84,False
2013-06-23,90,False
2013-06-30,67,False
2013-07-07,83,False
2013-07-14,87,False
2013-07-21,85,False
2013-07-28,86,False
2013-08-04,81,False
2013-08-11,84,False
2013-08-18,84,False
2013-08-25,84,False
2013-09-01,82,False
2013-09-08,88,False
2013-09-15,91,False
2013-09-22,96,False
2013-09-29,88,False
2013-10-06,94,False
2013-10-13,92,False
2013-10-20,97,False
2013-10-27,100,False
2013-11-03,93,False
2013-11-10,89,False
2013-11-17,90,False
2013-11-24,77,False
2013-12-01,89,False
2013-12-08,90,False
2013-12-15,73,False
2013-12-22,63,False
2013-12-29,80,False
