geoName,improvement
Alabama,58
Alaska,46
Arizona,70
Arkansas,80
California,50
Colorado,53
Connecticut,74
Delaware,70
District of Columbia,84
Florida,60
Georgia,60
Hawaii,50
Idaho,66
Illinois,60
Indiana,73
Iowa,68
Kansas,58
Kentucky,57
Louisiana,53
Maine,52
Maryland,100
Massachusetts,68
Michigan,72
Minnesota,69
Mississippi,59
Missouri,72
Montana,74
Nebraska,67
Nevada,50
New Hampshire,59
New Jersey,67
New Mexico,72
New York,63
North Carolina,92
North Dakota,89
Ohio,77
Oklahoma,50
Oregon,41
Pennsylvania,67
Rhode Island,62
South Carolina,79
South Dakota,65
Tennessee,63
Texas,58
Utah,84
Vermont,58
Virginia,72
Washington,55
West Virginia,56
Wisconsin,70
Wyoming,60
