date,improvement,isPartial
2015-01-04,97,False
2015-01-11,95,False
2015-01-18,98,False
2015-01-25,94,False
2015-02-01,90,False
2015-02-08,98,False
2015-02-15,91,False
2015-02-22,93,False
2015-03-01,90,False
2015-03-08,91,False
2015-03-15,94,False
2015-03-22,90,False
2015-03-29,93,False
2015-04-05,98,False
2015-04-12,97,False
2015-04-19,97,False
2015-04-26,94,False
2015-05-03,91,False
2015-05-10,94,False
2015-05-17,96,False
2015-05-24,94,False
2015-05-31,95,False
2015-06-07,97,False
2015-06-14,94,False
2015-06-21,94,False
2015-06-28,90,False
2015-07-05,96,False
2015-07-12,96,False
2015-07-19,94,False
2015-07-26,96,False
2015-08-02,89,False
2015-08-09,95,False
2015-08-16,95,False
2015-08-23,93,False
2015-08-30,97,False
2015-09-06,91,False
2015-09-13,91,False
2015-09-20,94,False
2015-09-27,92,False
2015-10-04,91,False
2015-10-11,93,False
2015-10-18,93,False
2015-10-25,100,False
2015-11-01,91,False
2015-11-08,87,False
2015-11-15,83,False
2015-11-22,80,False
2015-11-29,91,False
2015-12-06,96,False
2015-12-13,79,False
2015-12-20,68,False
2015-12-27,75,False
