date,improvement,isPartial
2016-01-03,81,False
2016-01-10,77,False
2016-01-17,85,False
2016-01-24,80,False
2016-01-31,84,False
2016-02-07,88,False
2016-02-14,83,False
2016-02-21,92,False
2016-02-28,88,False
2016-03-06,96,False
2016-03-13,96,False
2016-03-20,96,False
2016-03-27,100,False
2016-04-03,94,False
2016-04-10,94,False
2016-04-17,97,False
2016-04-24,94,False
2016-05-01,86,False
2016-05-08,88,False
2016-05-15,86,False
2016-05-22,85,False
2016-05-29,87,False
2016-06-05,90,False
2016-06-12,88,False
2016-06-19,87,False
2016-06-26,86,False
2016-07-03,81,False
2016-07-10,80,False
2016-07-17,83,False
2016-07-24,79,False
2016-07-31,74,False
2016-08-07,79,False
2016-08-14,77,False
2016-08-21,79,False
2016-08-28,73,False
2016-09-04,80,False
2016-09-11,85,False
2016-09-18,79,False
2016-09-25,83,False
2016-10-02,89,False
2016-10-09,90,False
2016-10-16,87,False
2016-10-23,90,False
2016-10-30,83,False
2016-11-06,76,False
2016-11-13,87,False
2016-11-20,72,False
2016-11-27,84,False
2016-12-04,82,False
2016-12-11,75,False
2016-12-18,67,False
2016-12-25,60,False
