geoName,improvement
Alabama,64
Alaska,66
Arizona,69
Arkansas,77
California,54
Colorado,69
Connecticut,85
Delaware,66
District of Columbia,79
Florida,61
Georgia,66
Hawaii,57
Idaho,56
Illinois,63
Indiana,70
Iowa,75
Kansas,64
Kentucky,58
Louisiana,66
Maine,55
Maryland,100
Massachusetts,72
Michigan,81
Minnesota,78
Mississippi,66
Missouri,75
Montana,69
Nebraska,64
Nevada,55
New Hampshire,69
New Jersey,70
New Mexico,67
New York,64
North Carolina,94
North Dakota,96
Ohio,77
Oklahoma,55
Oregon,53
Pennsylvania,66
Rhode Island,73
South Carolina,69
South Dakota,72
Tennessee,67
Texas,62
Utah,78
Vermont,48
Virginia,65
Washington,60
West Virginia,57
Wisconsin,72
Wyoming,50
