geoName,diagnosis
Alabama,94
Alaska,75
Arizona,75
Arkansas,98
California,56
Colorado,58
Connecticut,85
Delaware,97
District of Columbia,58
Florida,79
Georgia,62
Hawaii,55
Idaho,71
Illinois,68
Indiana,90
Iowa,76
Kansas,62
Kentucky,90
Louisiana,81
Maine,89
Maryland,85
Massachusetts,73
Michigan,77
Minnesota,76
Mississippi,87
Missouri,84
Montana,84
Nebraska,88
Nevada,54
New Hampshire,74
New Jersey,75
New Mexico,85
New York,66
North Carolina,71
North Dakota,85
Ohio,83
Oklahoma,76
Oregon,44
Pennsylvania,89
Rhode Island,74
South Carolina,73
South Dakota,97
Tennessee,91
Texas,66
Utah,64
Vermont,84
Virginia,51
Washington,62
West Virginia,100
Wisconsin,75
Wyoming,54
