geoName,diagnosis
Alabama,88
Alaska,54
Arizona,73
Arkansas,82
California,55
Colorado,57
Connecticut,81
Delaware,93
District of Columbia,62
Florida,76
Georgia,60
Hawaii,70
Idaho,80
Illinois,67
Indiana,85
Iowa,81
Kansas,71
Kentucky,100
Louisiana,96
Maine,89
Maryland,89
Massachusetts,70
Michigan,75
Minnesota,77
Mississippi,90
Missouri,84
Montana,92
Nebraska,87
Nevada,58
New Hampshire,77
New Jersey,74
New Mexico,87
New York,62
North Carolina,75
North Dakota,70
Ohio,82
Oklahoma,84
Oregon,74
Pennsylvania,90
Rhode Island,62
South Carolina,76
South Dakota,85
Tennessee,97
Texas,62
Utah,65
Vermont,86
Virginia,65
Washington,59
West Virginia,98
Wisconsin,82
Wyoming,68
