geoName,diagnosis
Alabama,86
Alaska,72
Arizona,71
Arkansas,89
California,58
Colorado,67
Connecticut,95
Delaware,92
District of Columbia,56
Florida,75
Georgia,65
Hawaii,68
Idaho,69
Illinois,67
Indiana,83
Iowa,81
Kansas,74
Kentucky,94
Louisiana,78
Maine,93
Maryland,80
Massachusetts,77
Michigan,76
Minnesota,88
Mississippi,84
Missouri,79
Montana,65
Nebraska,77
Nevada,56
New Hampshire,76
New Jersey,74
New Mexico,75
New York,75
North Carolina,69
North Dakota,87
Ohio,80
Oklahoma,78
Oregon,64
Pennsylvania,85
Rhode Island,75
South Carolina,75
South Dakota,94
Tennessee,86
Texas,63
Utah,60
Vermont,81
Virginia,75
Washington,59
West Virginia,100
Wisconsin,69
Wyoming,64
