geoName,diagnosis
Alabama,83
Alaska,71
Arizona,66
Arkansas,75
California,48
Colorado,52
Connecticut,72
Delaware,78
District of Columbia,51
Florida,62
Georgia,52
Hawaii,57
Idaho,65
Illinois,52
Indiana,73
Iowa,67
Kansas,57
Kentucky,76
Louisiana,72
Maine,76
Maryland,66
Massachusetts,61
Michigan,62
Minnesota,66
Mississippi,60
Missouri,64
Montana,69
Nebraska,82
Nevada,45
New Hampshire,65
New Jersey,64
New Mexico,68
New York,55
North Carolina,62
North Dakota,78
Ohio,67
Oklahoma,64
Oregon,38
Pennsylvania,74
Rhode Island,66
South Carolina,73
South Dakota,82
Tennessee,77
Texas,55
Utah,56
Vermont,56
Virginia,58
Washington,48
West Virginia,100
Wisconsin,60
Wyoming,75
