geoName,sorrow
Alabama,88
Alaska,73
Arizona,68
Arkansas,70
California,64
Colorado,61
Connecticut,65
Delaware,30
District of Columbia,54
Florida,58
Georgia,67
Hawaii,56
Idaho,70
Illinois,65
Indiana,76
Iowa,61
Kansas,65
Kentucky,77
Louisiana,64
Maine,65
Maryland,55
Massachusetts,53
Michigan,63
Minnesota,53
Mississippi,82
Missouri,72
Montana,70
Nebraska,49
Nevada,68
New Hampshire,53
New Jersey,58
New Mexico,85
New York,61
North Carolina,69
North Dakota,54
Ohio,58
Oklahoma,70
Oregon,67
Pennsylvania,64
Rhode Island,70
South Carolina,80
South Dakota,48
Tennessee,79
Texas,65
Utah,81
Vermont,100
Virginia,65
Washington,67
West Virginia,77
Wisconsin,61
Wyoming,69
