date,sorrow,isPartial
2016-01-03,67,False
2016-01-10,74,False
2016-01-17,68,False
2016-01-24,76,False
2016-01-31,73,False
2016-02-07,66,False
2016-02-14,67,False
2016-02-21,100,False
2016-02-28,76,False
2016-03-06,69,False
2016-03-13,68,False
2016-03-20,79,False
2016-03-27,72,False
2016-04-03,78,False
2016-04-10,67,False
2016-04-17,76,False
2016-04-24,74,False
2016-05-01,68,False
2016-05-08,71,False
2016-05-15,67,False
2016-05-22,74,False
2016-05-29,63,False
2016-06-05,55,False
2016-06-12,58,False
2016-06-19,68,False
2016-06-26,63,False
2016-07-03,66,False
2016-07-10,55,False
2016-07-17,59,False
2016-07-24,52,False
2016-07-31,49,False
2016-08-07,57,False
2016-08-14,55,False
2016-08-21,58,False
2016-08-28,60,False
2016-09-04,60,False
2016-09-11,63,False
2016-09-18,62,False
2016-09-25,67,False
2016-10-02,67,False
2016-10-09,67,False
2016-10-16,67,False
2016-10-23,65,False
2016-10-30,64,False
2016-11-06,63,False
2016-11-13,88,False
2016-11-20,64,False
2016-11-27,72,False
2016-12-04,73,False
2016-12-11,67,False
2016-12-18,63,False
2016-12-25,60,False
