geoName,sorrow
Alabama,69
Alaska,79
Arizona,52
Arkansas,67
California,54
Colorado,60
Connecticut,51
Delaware,57
District of Columbia,46
Florida,48
Georgia,67
Hawaii,49
Idaho,52
Illinois,49
Indiana,62
Iowa,43
Kansas,49
Kentucky,65
Louisiana,59
Maine,56
Maryland,55
Massachusetts,52
Michigan,52
Minnesota,52
Mississippi,100
Missouri,54
Montana,75
Nebraska,52
Nevada,54
New Hampshire,49
New Jersey,49
New Mexico,61
New York,47
North Carolina,56
North Dakota,40
Ohio,55
Oklahoma,49
Oregon,54
Pennsylvania,53
Rhode Island,48
South Carolina,59
South Dakota,65
Tennessee,68
Texas,53
Utah,62
Vermont,47
Virginia,54
Washington,61
West Virginia,67
Wisconsin,53
Wyoming,46
