date,sorrow,isPartial
2012-01-01,71,False
2012-01-08,67,False
2012-01-15,77,False
2012-01-22,69,False
2012-01-29,88,False
2012-02-05,72,False
2012-02-12,74,False
2012-02-19,81,False
2012-02-26,86,False
2012-03-04,82,False
2012-03-11,88,False
2012-03-18,73,False
2012-03-25,96,False
2012-04-01,77,False
2012-04-08,91,False
2012-04-15,78,False
2012-04-22,100,False
2012-04-29,79,False
2012-05-06,71,False
2012-05-13,84,False
2012-05-20,83,False
2012-05-27,71,False
2012-06-03,74,False
2012-06-10,77,False
2012-06-17,67,False
2012-06-24,75,False
2012-07-01,65,False
2012-07-08,83,False
2012-07-15,92,False
2012-07-22,78,False
2012-07-29,70,False
2012-08-05,67,False
2012-08-12,65,False
2012-08-19,63,False
2012-08-26,71,False
2012-09-02,76,False
2012-09-09,81,False
2012-09-16,71,False
2012-09-23,73,False
2012-09-30,62,False
2012-10-07,66,False
2012-10-14,70,False
2012-10-21,59,False
2012-10-28,59,False
2012-11-04,63,False
2012-11-11,66,False
2012-11-18,65,False
2012-11-25,61,False
2012-12-02,69,False
2012-12-09,78,False
2012-12-16,71,False
2012-12-23,55,False
2012-12-30,72,False
