geoName,sorrow
Alabama,81
Alaska,42
Arizona,67
Arkansas,90
California,66
Colorado,66
Connecticut,59
Delaware,69
District of Columbia,58
Florida,61
Georgia,71
Hawaii,64
Idaho,68
Illinois,62
Indiana,75
Iowa,68
Kansas,72
Kentucky,100
Louisiana,74
Maine,68
Maryland,64
Massachusetts,60
Michigan,71
Minnesota,60
Mississippi,72
Missouri,75
Montana,87
Nebraska,53
Nevada,74
New Hampshire,80
New Jersey,60
New Mexico,75
New York,61
North Carolina,70
North Dakota,66
Ohio,62
Oklahoma,77
Oregon,61
Pennsylvania,71
Rhode Island,67
South Carolina,79
South Dakota,62
Tennessee,81
Texas,66
Utah,66
Vermont,86
Virginia,74
Washington,74
West Virginia,84
Wisconsin,67
Wyoming,94
