date,sorrow,isPartial
2015-01-04,60,False
2015-01-11,64,False
2015-01-18,70,False
2015-01-25,67,False
2015-02-01,62,False
2015-02-08,63,False
2015-02-15,61,False
2015-02-22,100,False
2015-03-01,81,False
2015-03-08,78,False
2015-03-15,75,False
2015-03-22,69,False
2015-03-29,74,False
2015-04-05,70,False
2015-04-12,72,False
2015-04-19,72,False
2015-04-26,73,False
2015-05-03,71,False
2015-05-10,69,False
2015-05-17,88,False
2015-05-24,73,False
2015-05-31,69,False
2015-06-07,66,False
2015-06-14,60,False
2015-06-21,61,False
2015-06-28,54,False
2015-07-05,65,False
2015-07-12,58,False
2015-07-19,56,False
2015-07-26,58,False
2015-08-02,63,False
2015-08-09,53,False
2015-08-16,71,False
2015-08-23,61,False
2015-08-30,58,False
2015-09-06,72,False
2015-09-13,70,False
2015-09-20,69,False
2015-09-27,71,False
2015-10-04,71,False
2015-10-11,61,False
2015-10-18,63,False
2015-10-25,62,False
2015-11-01,58,False
2015-11-08,67,False
2015-11-15,74,False
2015-11-22,52,False
2015-11-29,66,False
2015-12-06,71,False
2015-12-13,56,False
2015-12-20,61,False
2015-12-27,58,False
