geoName,sorrow
Alabama,62
Alaska,94
Arizona,56
Arkansas,75
California,53
Colorado,70
Connecticut,49
Delaware,32
District of Columbia,51
Florida,46
Georgia,59
Hawaii,54
Idaho,69
Illinois,50
Indiana,60
Iowa,53
Kansas,67
Kentucky,82
Louisiana,56
Maine,52
Maryland,63
Massachusetts,53
Michigan,55
Minnesota,63
Mississippi,60
Missouri,55
Montana,92
Nebraska,47
Nevada,49
New Hampshire,64
New Jersey,44
New Mexico,62
New York,50
North Carolina,63
North Dakota,65
Ohio,55
Oklahoma,57
Oregon,63
Pennsylvania,62
Rhode Island,46
South Carolina,69
South Dakota,75
Tennessee,74
Texas,54
Utah,48
Vermont,80
Virginia,64
Washington,57
West Virginia,100
Wisconsin,60
Wyoming,66
