geoName,sorrow
Alabama,96
Alaska,83
Arizona,70
Arkansas,78
California,70
Colorado,74
Connecticut,63
Delaware,61
District of Columbia,52
Florida,64
Georgia,71
Hawaii,69
Idaho,58
Illinois,72
Indiana,89
Iowa,78
Kansas,72
Kentucky,84
Louisiana,73
Maine,99
Maryland,75
Massachusetts,70
Michigan,74
Minnesota,60
Mississippi,71
Missouri,67
Montana,98
Nebraska,81
Nevada,65
New Hampshire,79
New Jersey,73
New Mexico,71
New York,71
North Carolina,74
North Dakota,35
Ohio,78
Oklahoma,82
Oregon,77
Pennsylvania,77
Rhode Island,61
South Carolina,73
South Dakota,100
Tennessee,76
Texas,64
Utah,97
Vermont,78
Virginia,76
Washington,80
West Virginia,94
Wisconsin,72
Wyoming,50
