date,sorrow,isPartial
2011-01-02,90,False
2011-01-09,88,False
2011-01-16,86,False
2011-01-23,100,False
2011-01-30,82,False
2011-02-06,87,False
2011-02-13,90,False
2011-02-20,76,False
2011-02-27,89,False
2011-03-06,88,False
2011-03-13,84,False
2011-03-20,87,False
2011-03-27,90,False
2011-04-03,89,False
2011-04-10,88,False
2011-04-17,92,False
2011-04-24,90,False
2011-05-01,92,False
2011-05-08,78,False
2011-05-15,83,False
2011-05-22,90,False
2011-05-29,86,False
2011-06-05,89,False
2011-06-12,88,False
2011-06-19,72,False
2011-06-26,79,False
2011-07-03,86,False
2011-07-10,83,False
2011-07-17,83,False
2011-07-24,81,False
2011-07-31,82,False
2011-08-07,84,False
2011-08-14,79,False
2011-08-21,79,False
2011-08-28,80,False
2011-09-04,69,False
2011-09-11,90,False
2011-09-18,88,False
2011-09-25,78,False
2011-10-02,83,False
2011-10-09,79,False
2011-10-16,71,False
2011-10-23,68,False
2011-10-30,67,False
2011-11-06,72,False
2011-11-13,74,False
2011-11-20,74,False
2011-11-27,75,False
2011-12-04,79,False
2011-12-11,74,False
2011-12-18,64,False
2011-12-25,68,False
