date,reactive,isPartial
2013-01-06,70,False
2013-01-13,78,False
2013-01-20,77,False
2013-01-27,77,False
2013-02-03,77,False
2013-02-10,75,False
2013-02-17,74,False
2013-02-24,84,False
2013-03-03,82,False
2013-03-10,73,False
2013-03-17,82,False
2013-03-24,72,False
2013-03-31,75,False
2013-04-07,74,False
2013-04-14,83,False
2013-04-21,82,False
2013-04-28,82,False
2013-05-05,71,False
2013-05-12,69,False
2013-05-19,65,False
2013-05-26,68,False
2013-06-02,64,False
2013-06-09,67,False
2013-06-16,55,False
2013-06-23,65,False
2013-06-30,53,False
2013-07-07,60,False
2013-07-14,57,False
2013-07-21,55,False
2013-07-28,57,False
2013-08-04,51,False
2013-08-11,50,False
2013-08-18,62,False
2013-08-25,64,False
2013-09-01,73,False
2013-09-08,82,False
2013-09-15,80,False
2013-09-22,85,False
2013-09-29,86,False
2013-10-06,99,False
2013-10-13,99,False
2013-10-20,100,False
2013-10-27,93,False
2013-11-03,91,False
2013-11-10,88,False
2013-11-17,95,False
2013-11-24,74,False
2013-12-01,78,False
2013-12-08,90,False
2013-12-15,78,False
2013-12-22,44,False
2013-12-29,53,False
