geoName,reactive
Alabama,66
Alaska,52
Arizona,56
Arkansas,69
California,53
Colorado,57
Connecticut,63
Delaware,82
District of Columbia,52
Florida,50
Georgia,45
Hawaii,46
Idaho,70
Illinois,48
Indiana,69
Iowa,74
Kansas,42
Kentucky,58
Louisiana,55
Maine,53
Maryland,64
Massachusetts,65
Michigan,52
Minnesota,69
Mississippi,47
Missouri,57
Montana,90
Nebraska,53
Nevada,49
New Hampshire,48
New Jersey,53
New Mexico,80
New York,53
North Carolina,59
North Dakota,64
Ohio,60
Oklahoma,55
Oregon,45
Pennsylvania,66
Rhode Island,57
South Carolina,58
South Dakota,100
Tennessee,58
Texas,51
Utah,57
Vermont,63
Virginia,41
Washington,57
West Virginia,66
Wisconsin,68
Wyoming,68
