geoName,reactive
Alabama,64
Alaska,69
Arizona,61
Arkansas,72
California,52
Colorado,57
Connecticut,77
Delaware,51
District of Columbia,46
Florida,55
Georgia,56
Hawaii,52
Idaho,76
Illinois,53
Indiana,76
Iowa,76
Kansas,65
Kentucky,64
Louisiana,60
Maine,53
Maryland,64
Massachusetts,62
Michigan,60
Minnesota,70
Mississippi,63
Missouri,62
Montana,75
Nebraska,74
Nevada,39
New Hampshire,94
New Jersey,58
New Mexico,69
New York,47
North Carolina,59
North Dakota,85
Ohio,64
Oklahoma,64
Oregon,71
Pennsylvania,63
Rhode Island,60
South Carolina,56
South Dakota,99
Tennessee,57
Texas,45
Utah,62
Vermont,76
Virginia,58
Washington,57
West Virginia,80
Wisconsin,71
Wyoming,100
