date,reactive,isPartial
2015-01-04,64,False
2015-01-11,74,False
2015-01-18,72,False
2015-01-25,67,False
2015-02-01,68,False
2015-02-08,70,False
2015-02-15,69,False
2015-02-22,63,False
2015-03-01,77,False
2015-03-08,77,False
2015-03-15,66,False
2015-03-22,75,False
2015-03-29,69,False
2015-04-05,76,False
2015-04-12,74,False
2015-04-19,69,False
2015-04-26,64,False
2015-05-03,69,False
2015-05-10,64,False
2015-05-17,64,False
2015-05-24,58,False
2015-05-31,59,False
2015-06-07,60,False
2015-06-14,65,False
2015-06-21,57,False
2015-06-28,54,False
2015-07-05,57,False
2015-07-12,56,False
2015-07-19,60,False
2015-07-26,56,False
2015-08-02,58,False
2015-08-09,59,False
2015-08-16,66,False
2015-08-23,79,False
2015-08-30,66,False
2015-09-06,70,False
2015-09-13,79,False
2015-09-20,76,False
2015-09-27,82,False
2015-10-04,86,False
2015-10-11,87,False
2015-10-18,97,False
2015-10-25,86,False
2015-11-01,99,False
2015-11-08,83,False
2015-11-15,100,False
2015-11-22,67,False
2015-11-29,84,False
2015-12-06,78,False
2015-12-13,77,False
2015-12-20,51,False
2015-12-27,49,False
