date,reactive,isPartial
2014-01-05,67,False
2014-01-12,77,False
2014-01-19,69,False
2014-01-26,74,False
2014-02-02,70,False
2014-02-09,78,False
2014-02-16,83,False
2014-02-23,77,False
2014-03-02,75,False
2014-03-09,75,False
2014-03-16,71,False
2014-03-23,75,False
2014-03-30,71,False
2014-04-06,75,False
2014-04-13,71,False
2014-04-20,74,False
2014-04-27,81,False
2014-05-04,77,False
2014-05-11,74,False
2014-05-18,73,False
2014-05-25,69,False
2014-06-01,65,False
2014-06-08,64,False
2014-06-15,62,False
2014-06-22,65,False
2014-06-29,52,False
2014-07-06,60,False
2014-07-13,66,False
2014-07-20,57,False
2014-07-27,52,False
2014-08-03,59,False
2014-08-10,57,False
2014-08-17,64,False
2014-08-24,68,False
2014-08-31,76,False
2014-09-07,82,False
2014-09-14,87,False
2014-09-21,91,False
2014-09-28,90,False
2014-10-05,90,False
2014-10-12,90,False
2014-10-19,94,False
2014-10-26,100,False
2014-11-02,93,False
2014-11-09,86,False
2014-11-16,96,False
2014-11-23,66,False
2014-11-30,92,False
2014-12-07,92,False
2014-12-14,84,False
2014-12-21,51,False
2014-12-28,52,False
