geoName,reactive
Alabama,68
Alaska,72
Arizona,71
Arkansas,61
California,67
Colorado,75
Connecticut,80
Delaware,62
District of Columbia,60
Florida,60
Georgia,62
Hawaii,55
Idaho,75
Illinois,64
Indiana,72
Iowa,72
Kansas,75
Kentucky,67
Louisiana,64
Maine,68
Maryland,76
Massachusetts,81
Michigan,74
Minnesota,89
Mississippi,55
Missouri,75
Montana,78
Nebraska,78
Nevada,56
New Hampshire,95
New Jersey,71
New Mexico,80
New York,64
North Carolina,75
North Dakota,85
Ohio,76
Oklahoma,73
Oregon,78
Pennsylvania,82
Rhode Island,60
South Carolina,65
South Dakota,80
Tennessee,73
Texas,61
Utah,69
Vermont,100
Virginia,73
Washington,77
West Virginia,71
Wisconsin,87
Wyoming,76
