geoName,reactive
Alabama,45
Alaska,57
Arizona,47
Arkansas,47
California,42
Colorado,50
Connecticut,58
Delaware,49
District of Columbia,34
Florida,41
Georgia,41
Hawaii,39
Idaho,62
Illinois,40
Indiana,52
Iowa,65
Kansas,52
Kentucky,49
Louisiana,49
Maine,58
Maryland,54
Massachusetts,51
Michigan,49
Minnesota,44
Mississippi,43
Missouri,58
Montana,100
Nebraska,58
Nevada,38
New Hampshire,62
New Jersey,49
New Mexico,63
New York,39
North Carolina,51
North Dakota,43
Ohio,55
Oklahoma,57
Oregon,56
Pennsylvania,56
Rhode Island,58
South Carolina,42
South Dakota,99
Tennessee,51
Texas,40
Utah,60
Vermont,77
Virginia,52
Washington,49
West Virginia,57
Wisconsin,60
Wyoming,71
