date,reactive,isPartial
2016-01-03,70,False
2016-01-10,70,False
2016-01-17,70,False
2016-01-24,81,False
2016-01-31,77,False
2016-02-07,75,False
2016-02-14,73,False
2016-02-21,73,False
2016-02-28,75,False
2016-03-06,78,False
2016-03-13,69,False
2016-03-20,77,False
2016-03-27,73,False
2016-04-03,78,False
2016-04-10,74,False
2016-04-17,72,False
2016-04-24,73,False
2016-05-01,73,False
2016-05-08,72,False
2016-05-15,66,False
2016-05-22,75,False
2016-05-29,61,False
2016-06-05,67,False
2016-06-12,60,False
2016-06-19,58,False
2016-06-26,52,False
2016-07-03,54,False
2016-07-10,60,False
2016-07-17,58,False
2016-07-24,59,False
2016-07-31,56,False
2016-08-07,58,False
2016-08-14,55,False
2016-08-21,62,False
2016-08-28,60,False
2016-09-04,69,False
2016-09-11,75,False
2016-09-18,84,False
2016-09-25,82,False
2016-10-02,82,False
2016-10-09,81,False
2016-10-16,81,False
2016-10-23,94,False
2016-10-30,90,False
2016-11-06,75,False
2016-11-13,100,False
2016-11-20,63,False
2016-11-27,90,False
2016-12-04,92,False
2016-12-11,83,False
2016-12-18,65,False
2016-12-25,51,False
