date,reactive,isPartial
2011-01-02,76,False
2011-01-09,70,False
2011-01-16,84,False
2011-01-23,74,False
2011-01-30,79,False
2011-02-06,74,False
2011-02-13,84,False
2011-02-20,91,False
2011-02-27,100,False
2011-03-06,87,False
2011-03-13,76,False
2011-03-20,80,False
2011-03-27,88,False
2011-04-03,82,False
2011-04-10,81,False
2011-04-17,94,False
2011-04-24,66,False
2011-05-01,81,False
2011-05-08,82,False
2011-05-15,69,False
2011-05-22,73,False
2011-05-29,79,False
2011-06-05,74,False
2011-06-12,70,False
2011-06-19,76,False
2011-06-26,68,False
2011-07-03,56,False
2011-07-10,69,False
2011-07-17,57,False
2011-07-24,63,False
2011-07-31,60,False
2011-08-07,57,False
2011-08-14,70,False
2011-08-21,88,False
2011-08-28,80,False
2011-09-04,77,False
2011-09-11,86,False
2011-09-18,83,False
2011-09-25,78,False
2011-10-02,97,False
2011-10-09,83,False
2011-10-16,91,False
2011-10-23,96,False
2011-10-30,90,False
2011-11-06,97,False
2011-11-13,98,False
2011-11-20,84,False
2011-11-27,99,False
2011-12-04,91,False
2011-12-11,94,False
2011-12-18,61,False
2011-12-25,65,False
