date,reactive,isPartial
2012-01-01,58,False
2012-01-08,69,False
2012-01-15,63,False
2012-01-22,67,False
2012-01-29,65,False
2012-02-05,65,False
2012-02-12,80,False
2012-02-19,64,False
2012-02-26,79,False
2012-03-04,75,False
2012-03-11,68,False
2012-03-18,100,False
2012-03-25,75,False
2012-04-01,66,False
2012-04-08,70,False
2012-04-15,65,False
2012-04-22,70,False
2012-04-29,67,False
2012-05-06,65,False
2012-05-13,64,False
2012-05-20,65,False
2012-05-27,54,False
2012-06-03,59,False
2012-06-10,59,False
2012-06-17,56,False
2012-06-24,58,False
2012-07-01,55,False
2012-07-08,52,False
2012-07-15,57,False
2012-07-22,50,False
2012-07-29,55,False
2012-08-05,50,False
2012-08-12,52,False
2012-08-19,55,False
2012-08-26,64,False
2012-09-02,68,False
2012-09-09,67,False
2012-09-16,70,False
2012-09-23,76,False
2012-09-30,80,False
2012-10-07,77,False
2012-10-14,83,False
2012-10-21,81,False
2012-10-28,74,False
2012-11-04,68,False
2012-11-11,83,False
2012-11-18,59,False
2012-11-25,80,False
2012-12-02,78,False
2012-12-09,66,False
2012-12-16,66,False
2012-12-23,34,False
2012-12-30,49,False
