geoName,reactive
Alabama,67
Alaska,80
Arizona,70
Arkansas,85
California,63
Colorado,71
Connecticut,90
Delaware,100
District of Columbia,57
Florida,62
Georgia,63
Hawaii,49
Idaho,89
Illinois,65
Indiana,84
Iowa,76
Kansas,72
Kentucky,67
Louisiana,70
Maine,89
Maryland,80
Massachusetts,76
Michigan,78
Minnesota,82
Mississippi,80
Missouri,78
Montana,66
Nebraska,65
Nevada,64
New Hampshire,62
New Jersey,72
New Mexico,78
New York,60
North Carolina,77
North Dakota,89
Ohio,79
Oklahoma,65
Oregon,66
Pennsylvania,75
Rhode Island,65
South Carolina,64
South Dakota,79
Tennessee,70
Texas,63
Utah,75
Vermont,87
Virginia,52
Washington,73
West Virginia,81
Wisconsin,84
Wyoming,80
