geoName,fatigue
Alabama,83
Alaska,76
Arizona,79
Arkansas,100
California,65
Colorado,80
Connecticut,82
Delaware,63
District of Columbia,78
Florida,71
Georgia,77
Hawaii,68
Idaho,82
Illinois,69
Indiana,93
Iowa,85
Kansas,82
Kentucky,80
Louisiana,75
Maine,89
Maryland,83
Massachusetts,75
Michigan,76
Minnesota,78
Mississippi,89
Missouri,74
Montana,100
Nebraska,80
Nevada,65
New Hampshire,89
New Jersey,67
New Mexico,91
New York,72
North Carolina,80
North Dakota,73
Ohio,80
Oklahoma,78
Oregon,89
Pennsylvania,85
Rhode Island,79
South Carolina,81
South Dakota,67
Tennessee,97
Texas,69
Utah,78
Vermont,83
Virginia,84
Washington,86
West Virginia,89
Wisconsin,79
Wyoming,68
