geoName,fatigue
Alabama,92
Alaska,82
Arizona,88
Arkansas,83
California,66
Colorado,80
Connecticut,80
Delaware,91
District of Columbia,73
Florida,68
Georgia,74
Hawaii,72
Idaho,91
Illinois,70
Indiana,84
Iowa,85
Kansas,63
Kentucky,81
Louisiana,75
Maine,85
Maryland,85
Massachusetts,84
Michigan,77
Minnesota,74
Mississippi,87
Missouri,83
Montana,100
Nebraska,77
Nevada,76
New Hampshire,88
New Jersey,66
New Mexico,92
New York,70
North Carolina,74
North Dakota,88
Ohio,85
Oklahoma,79
Oregon,64
Pennsylvania,81
Rhode Island,75
South Carolina,87
South Dakota,89
Tennessee,86
Texas,69
Utah,82
Vermont,77
Virginia,53
Washington,77
West Virginia,96
Wisconsin,82
Wyoming,85
