geoName,fatigue
Alabama,87
Alaska,86
Arizona,81
Arkansas,83
California,67
Colorado,75
Connecticut,81
Delaware,84
District of Columbia,71
Florida,68
Georgia,74
Hawaii,70
Idaho,88
Illinois,72
Indiana,79
Iowa,81
Kansas,74
Kentucky,84
Louisiana,76
Maine,92
Maryland,81
Massachusetts,73
Michigan,82
Minnesota,77
Mississippi,85
Missouri,84
Montana,83
Nebraska,70
Nevada,61
New Hampshire,90
New Jersey,71
New Mexico,81
New York,74
North Carolina,75
North Dakota,79
Ohio,83
Oklahoma,84
Oregon,86
Pennsylvania,84
Rhode Island,76
South Carolina,77
South Dakota,100
Tennessee,88
Texas,68
Utah,82
Vermont,77
Virginia,79
Washington,76
West Virginia,89
Wisconsin,77
Wyoming,78
