geoName,fatigue
Alabama,98
Alaska,93
Arizona,85
Arkansas,95
California,72
Colorado,83
Connecticut,87
Delaware,84
District of Columbia,81
Florida,71
Georgia,79
Hawaii,82
Idaho,88
Illinois,77
Indiana,96
Iowa,78
Kansas,88
Kentucky,89
Louisiana,76
Maine,83
Maryland,83
Massachusetts,87
Michigan,86
Minnesota,81
Mississippi,85
Missouri,81
Montana,98
Nebraska,86
Nevada,70
New Hampshire,87
New Jersey,76
New Mexico,81
New York,75
North Carolina,82
North Dakota,93
Ohio,90
Oklahoma,95
Oregon,58
Pennsylvania,87
Rhode Island,97
South Carolina,84
South Dakota,90
Tennessee,97
Texas,75
Utah,87
Vermont,87
Virginia,86
Washington,88
West Virginia,100
Wisconsin,87
Wyoming,70
