geoName,fatigue
Alabama,73
Alaska,76
Arizona,71
Arkansas,74
California,60
Colorado,71
Connecticut,70
Delaware,82
District of Columbia,73
Florida,63
Georgia,66
Hawaii,70
Idaho,74
Illinois,64
Indiana,76
Iowa,74
Kansas,75
Kentucky,77
Louisiana,69
Maine,75
Maryland,65
Massachusetts,67
Michigan,66
Minnesota,69
Mississippi,74
Missouri,70
Montana,76
Nebraska,64
Nevada,60
New Hampshire,71
New Jersey,62
New Mexico,69
New York,62
North Carolina,73
North Dakota,77
Ohio,73
Oklahoma,72
Oregon,85
Pennsylvania,77
Rhode Island,82
South Carolina,73
South Dakota,100
Tennessee,83
Texas,63
Utah,75
Vermont,90
Virginia,69
Washington,72
West Virginia,75
Wisconsin,66
Wyoming,76
