geoName,irrational
Alabama,100
Alaska,48
Arizona,85
Arkansas,94
California,65
Colorado,66
Connecticut,68
Delaware,52
District of Columbia,45
Florida,75
Georgia,70
Hawaii,84
Idaho,89
Illinois,60
Indiana,78
Iowa,55
Kansas,70
Kentucky,75
Louisiana,83
Maine,50
Maryland,66
Massachusetts,78
Michigan,72
Minnesota,75
Mississippi,89
Missouri,65
Montana,24
Nebraska,54
Nevada,62
New Hampshire,75
New Jersey,94
New Mexico,87
New York,78
North Carolina,71
North Dakota,83
Ohio,81
Oklahoma,68
Oregon,58
Pennsylvania,66
Rhode Island,94
South Carolina,86
South Dakota,92
Tennessee,85
Texas,55
Utah,79
Vermont,53
Virginia,69
Washington,67
West Virginia,91
Wisconsin,53
Wyoming,77
