date,irrational,isPartial
2013-01-06,44,False
2013-01-13,43,False
2013-01-20,47,False
2013-01-27,50,False
2013-02-03,44,False
2013-02-10,48,False
2013-02-17,43,False
2013-02-24,43,False
2013-03-03,46,False
2013-03-10,66,False
2013-03-17,43,False
2013-03-24,57,False
2013-03-31,47,False
2013-04-07,51,False
2013-04-14,45,False
2013-04-21,47,False
2013-04-28,49,False
2013-05-05,45,False
2013-05-12,40,False
2013-05-19,34,False
2013-05-26,33,False
2013-06-02,38,False
2013-06-09,29,False
2013-06-16,29,False
2013-06-23,24,False
2013-06-30,21,False
2013-07-07,27,False
2013-07-14,26,False
2013-07-21,25,False
2013-07-28,27,False
2013-08-04,33,False
2013-08-11,39,False
2013-08-18,69,False
2013-08-25,88,False
2013-09-01,85,False
2013-09-08,100,False
2013-09-15,74,False
2013-09-22,73,False
2013-09-29,67,False
2013-10-06,62,False
2013-10-13,56,False
2013-10-20,58,False
2013-10-27,47,False
2013-11-03,49,False
2013-11-10,44,False
2013-11-17,45,False
2013-11-24,29,False
2013-12-01,47,False
2013-12-08,55,False
2013-12-15,42,False
2013-12-22,16,False
2013-12-29,23,False
