geoName,irrational
Alabama,59
Alaska,45
Arizona,63
Arkansas,59
California,60
Colorado,60
Connecticut,57
Delaware,62
District of Columbia,49
Florida,65
Georgia,66
Hawaii,62
Idaho,62
Illinois,58
Indiana,70
Iowa,48
Kansas,47
Kentucky,49
Louisiana,62
Maine,74
Maryland,57
Massachusetts,56
Michigan,52
Minnesota,50
Mississippi,68
Missouri,49
Montana,42
Nebraska,52
Nevada,58
New Hampshire,59
New Jersey,64
New Mexico,67
New York,62
North Carolina,65
North Dakota,42
Ohio,61
Oklahoma,41
Oregon,38
Pennsylvania,58
Rhode Island,100
South Carolina,65
South Dakota,55
Tennessee,46
Texas,51
Utah,62
Vermont,64
Virginia,33
Washington,46
West Virginia,55
Wisconsin,49
Wyoming,44
