date,irrational,isPartial
2015-01-04,27,False
2015-01-11,33,False
2015-01-18,40,False
2015-01-25,40,False
2015-02-01,35,False
2015-02-08,37,False
2015-02-15,30,False
2015-02-22,37,False
2015-03-01,36,False
2015-03-08,47,False
2015-03-15,37,False
2015-03-22,34,False
2015-03-29,36,False
2015-04-05,34,False
2015-04-12,38,False
2015-04-19,41,False
2015-04-26,40,False
2015-05-03,41,False
2015-05-10,44,False
2015-05-17,33,False
2015-05-24,29,False
2015-05-31,27,False
2015-06-07,33,False
2015-06-14,29,False
2015-06-21,24,False
2015-06-28,20,False
2015-07-05,26,False
2015-07-12,40,False
2015-07-19,44,False
2015-07-26,51,False
2015-08-02,86,False
2015-08-09,100,False
2015-08-16,81,False
2015-08-23,98,False
2015-08-30,90,False
2015-09-06,83,False
2015-09-13,80,False
2015-09-20,66,False
2015-09-27,62,False
2015-10-04,54,False
2015-10-11,48,False
2015-10-18,55,False
2015-10-25,44,False
2015-11-01,41,False
2015-11-08,38,False
2015-11-15,36,False
2015-11-22,25,False
2015-11-29,41,False
2015-12-06,43,False
2015-12-13,43,False
2015-12-20,21,False
2015-12-27,31,False
