geoName,irrational
Alabama,66
Alaska,61
Arizona,76
Arkansas,71
California,56
Colorado,66
Connecticut,53
Delaware,50
District of Columbia,44
Florida,68
Georgia,73
Hawaii,71
Idaho,89
Illinois,52
Indiana,76
Iowa,62
Kansas,60
Kentucky,77
Louisiana,69
Maine,73
Maryland,61
Massachusetts,78
Michigan,63
Minnesota,56
Mississippi,64
Missouri,51
Montana,33
Nebraska,63
Nevada,70
New Hampshire,61
New Jersey,83
New Mexico,75
New York,69
North Carolina,67
North Dakota,61
Ohio,77
Oklahoma,50
Oregon,62
Pennsylvania,55
Rhode Island,73
South Carolina,67
South Dakota,62
Tennessee,68
Texas,53
Utah,81
Vermont,48
Virginia,64
Washington,55
West Virginia,100
Wisconsin,57
Wyoming,23
