date,irrational,isPartial
2014-01-05,33,False
2014-01-12,44,False
2014-01-19,40,False
2014-01-26,41,False
2014-02-02,40,False
2014-02-09,38,False
2014-02-16,87,False
2014-02-23,43,False
2014-03-02,39,False
2014-03-09,54,False
2014-03-16,37,False
2014-03-23,37,False
2014-03-30,33,False
2014-04-06,41,False
2014-04-13,36,False
2014-04-20,37,False
2014-04-27,35,False
2014-05-04,36,False
2014-05-11,35,False
2014-05-18,35,False
2014-05-25,29,False
2014-06-01,31,False
2014-06-08,29,False
2014-06-15,27,False
2014-06-22,22,False
2014-06-29,20,False
2014-07-06,23,False
2014-07-13,21,False
2014-07-20,25,False
2014-07-27,22,False
2014-08-03,25,False
2014-08-10,29,False
2014-08-17,60,False
2014-08-24,92,False
2014-08-31,100,False
2014-09-07,96,False
2014-09-14,73,False
2014-09-21,60,False
2014-09-28,61,False
2014-10-05,61,False
2014-10-12,49,False
2014-10-19,51,False
2014-10-26,43,False
2014-11-02,39,False
2014-11-09,39,False
2014-11-16,37,False
2014-11-23,25,False
2014-11-30,42,False
2014-12-07,48,False
2014-12-14,41,False
2014-12-21,17,False
2014-12-28,22,False
