date,irrational,isPartial
2016-01-03,55,False
2016-01-10,65,False
2016-01-17,72,False
2016-01-24,67,False
2016-01-31,66,False
2016-02-07,53,False
2016-02-14,60,False
2016-02-21,57,False
2016-02-28,51,False
2016-03-06,48,False
2016-03-13,55,False
2016-03-20,40,False
2016-03-27,46,False
2016-04-03,46,False
2016-04-10,55,False
2016-04-17,50,False
2016-04-24,49,False
2016-05-01,52,False
2016-05-08,47,False
2016-05-15,44,False
2016-05-22,47,False
2016-05-29,39,False
2016-06-05,45,False
2016-06-12,33,False
2016-06-19,27,False
2016-06-26,25,False
2016-07-03,24,False
2016-07-10,24,False
2016-07-17,25,False
2016-07-24,27,False
2016-07-31,24,False
2016-08-07,37,False
2016-08-14,54,False
2016-08-21,91,False
2016-08-28,100,False
2016-09-04,92,False
2016-09-11,100,False
2016-09-18,80,False
2016-09-25,61,False
2016-10-02,62,False
2016-10-09,54,False
2016-10-16,51,False
2016-10-23,44,False
2016-10-30,48,False
2016-11-06,40,False
2016-11-13,47,False
2016-11-20,24,False
2016-11-27,49,False
2016-12-04,49,False
2016-12-11,47,False
2016-12-18,27,False
2016-12-25,17,False
