date,irrational,isPartial
2011-01-02,41,False
2011-01-09,45,False
2011-01-16,48,False
2011-01-23,57,False
2011-01-30,58,False
2011-02-06,46,False
2011-02-13,57,False
2011-02-20,54,False
2011-02-27,48,False
2011-03-06,53,False
2011-03-13,57,False
2011-03-20,45,False
2011-03-27,44,False
2011-04-03,54,False
2011-04-10,49,False
2011-04-17,46,False
2011-04-24,52,False
2011-05-01,46,False
2011-05-08,55,False
2011-05-15,41,False
2011-05-22,47,False
2011-05-29,40,False
2011-06-05,54,False
2011-06-12,36,False
2011-06-19,37,False
2011-06-26,31,False
2011-07-03,31,False
2011-07-10,32,False
2011-07-17,35,False
2011-07-24,41,False
2011-07-31,35,False
2011-08-07,37,False
2011-08-14,45,False
2011-08-21,77,False
2011-08-28,100,False
2011-09-04,84,False
2011-09-11,95,False
2011-09-18,76,False
2011-09-25,81,False
2011-10-02,60,False
2011-10-09,71,False
2011-10-16,65,False
2011-10-23,66,False
2011-10-30,53,False
2011-11-06,49,False
2011-11-13,57,False
2011-11-20,38,False
2011-11-27,54,False
2011-12-04,55,False
2011-12-11,53,False
2011-12-18,40,False
2011-12-25,28,False
