geoName,excluded
Alabama,57
Alaska,58
Arizona,47
Arkansas,39
California,58
Colorado,39
Connecticut,58
Delaware,59
District of Columbia,67
Florida,54
Georgia,49
Hawaii,32
Idaho,36
Illinois,47
Indiana,50
Iowa,42
Kansas,55
Kentucky,52
Louisiana,61
Maine,51
Maryland,48
Massachusetts,55
Michigan,48
Minnesota,64
Mississippi,38
Missouri,64
Montana,37
Nebraska,55
Nevada,36
New Hampshire,37
New Jersey,45
New Mexico,61
New York,48
North Carolina,66
North Dakota,62
Ohio,53
Oklahoma,51
Oregon,28
Pennsylvania,56
Rhode Island,40
South Carolina,47
South Dakota,100
Tennessee,59
Texas,48
Utah,54
Vermont,43
Virginia,32
Washington,49
West Virginia,58
Wisconsin,53
Wyoming,0
