date,excluded,isPartial
2013-01-06,56,False
2013-01-13,65,False
2013-01-20,75,False
2013-01-27,77,False
2013-02-03,70,False
2013-02-10,70,False
2013-02-17,72,False
2013-02-24,64,False
2013-03-03,93,False
2013-03-10,71,False
2013-03-17,67,False
2013-03-24,66,False
2013-03-31,72,False
2013-04-07,69,False
2013-04-14,63,False
2013-04-21,69,False
2013-04-28,62,False
2013-05-05,84,False
2013-05-12,73,False
2013-05-19,69,False
2013-05-26,73,False
2013-06-02,48,False
2013-06-09,65,False
2013-06-16,55,False
2013-06-23,62,False
2013-06-30,40,False
2013-07-07,77,False
2013-07-14,50,False
2013-07-21,57,False
2013-07-28,42,False
2013-08-04,68,False
2013-08-11,58,False
2013-08-18,50,False
2013-08-25,51,False
2013-09-01,64,False
2013-09-08,74,False
2013-09-15,83,False
2013-09-22,75,False
2013-09-29,79,False
2013-10-06,100,False
2013-10-13,80,False
2013-10-20,67,False
2013-10-27,69,False
2013-11-03,72,False
2013-11-10,75,False
2013-11-17,80,False
2013-11-24,49,False
2013-12-01,75,False
2013-12-08,74,False
2013-12-15,62,False
2013-12-22,38,False
2013-12-29,42,False
