geoName,excluded
Alabama,66
Alaska,66
Arizona,77
Arkansas,72
California,64
Colorado,53
Connecticut,70
Delaware,82
District of Columbia,100
Florida,56
Georgia,68
Hawaii,63
Idaho,58
Illinois,47
Indiana,64
Iowa,66
Kansas,55
Kentucky,64
Louisiana,61
Maine,70
Maryland,84
Massachusetts,52
Michigan,47
Minnesota,68
Mississippi,89
Missouri,64
Montana,36
Nebraska,82
Nevada,65
New Hampshire,69
New Jersey,64
New Mexico,51
New York,52
North Carolina,55
North Dakota,44
Ohio,59
Oklahoma,66
Oregon,39
Pennsylvania,66
Rhode Island,63
South Carolina,72
South Dakota,31
Tennessee,74
Texas,58
Utah,71
Vermont,68
Virginia,81
Washington,49
West Virginia,67
Wisconsin,58
Wyoming,48
