date,excluded,isPartial
2012-01-01,43,False
2012-01-08,71,False
2012-01-15,57,False
2012-01-22,68,False
2012-01-29,47,False
2012-02-05,67,False
2012-02-12,73,False
2012-02-19,65,False
2012-02-26,60,False
2012-03-04,67,False
2012-03-11,55,False
2012-03-18,49,False
2012-03-25,73,False
2012-04-01,69,False
2012-04-08,66,False
2012-04-15,77,False
2012-04-22,53,False
2012-04-29,77,False
2012-05-06,54,False
2012-05-13,44,False
2012-05-20,58,False
2012-05-27,52,False
2012-06-03,55,False
2012-06-10,51,False
2012-06-17,46,False
2012-06-24,47,False
2012-07-01,53,False
2012-07-08,55,False
2012-07-15,40,False
2012-07-22,45,False
2012-07-29,73,False
2012-08-05,80,False
2012-08-12,69,False
2012-08-19,51,False
2012-08-26,70,False
2012-09-02,62,False
2012-09-09,69,False
2012-09-16,74,False
2012-09-23,61,False
2012-09-30,75,False
2012-10-07,60,False
2012-10-14,58,False
2012-10-21,60,False
2012-10-28,62,False
2012-11-04,69,False
2012-11-11,66,False
2012-11-18,48,False
2012-11-25,100,False
2012-12-02,83,False
2012-12-09,75,False
2012-12-16,61,False
2012-12-23,25,False
2012-12-30,35,False
