geoName,excluded
Alabama,92
Alaska,89
Arizona,79
Arkansas,96
California,79
Colorado,65
Connecticut,71
Delaware,59
District of Columbia,77
Florida,78
Georgia,89
Hawaii,63
Idaho,60
Illinois,70
Indiana,63
Iowa,72
Kansas,59
Kentucky,60
Louisiana,86
Maine,37
Maryland,91
Massachusetts,82
Michigan,68
Minnesota,83
Mississippi,89
Missouri,88
Montana,42
Nebraska,100
Nevada,67
New Hampshire,67
New Jersey,74
New Mexico,43
New York,75
North Carolina,81
North Dakota,43
Ohio,75
Oklahoma,90
Oregon,71
Pennsylvania,81
Rhode Island,86
South Carolina,86
South Dakota,67
Tennessee,74
Texas,70
Utah,54
Vermont,84
Virginia,80
Washington,59
West Virginia,88
Wisconsin,65
Wyoming,64
