date,excluded,isPartial
2016-01-03,68,False
2016-01-10,77,False
2016-01-17,71,False
2016-01-24,74,False
2016-01-31,84,False
2016-02-07,88,False
2016-02-14,69,False
2016-02-21,85,False
2016-02-28,73,False
2016-03-06,94,False
2016-03-13,86,False
2016-03-20,65,False
2016-03-27,81,False
2016-04-03,84,False
2016-04-10,79,False
2016-04-17,81,False
2016-04-24,72,False
2016-05-01,77,False
2016-05-08,74,False
2016-05-15,61,False
2016-05-22,67,False
2016-05-29,64,False
2016-06-05,66,False
2016-06-12,64,False
2016-06-19,63,False
2016-06-26,66,False
2016-07-03,60,False
2016-07-10,53,False
2016-07-17,98,False
2016-07-24,64,False
2016-07-31,64,False
2016-08-07,67,False
2016-08-14,65,False
2016-08-21,56,False
2016-08-28,57,False
2016-09-04,65,False
2016-09-11,66,False
2016-09-18,79,False
2016-09-25,96,False
2016-10-02,69,False
2016-10-09,93,False
2016-10-16,100,False
2016-10-23,85,False
2016-10-30,87,False
2016-11-06,54,False
2016-11-13,91,False
2016-11-20,56,False
2016-11-27,83,False
2016-12-04,81,False
2016-12-11,78,False
2016-12-18,63,False
2016-12-25,34,False
