date,excluded,isPartial
2014-01-05,65,False
2014-01-12,76,False
2014-01-19,72,False
2014-01-26,88,False
2014-02-02,75,False
2014-02-09,79,False
2014-02-16,88,False
2014-02-23,75,False
2014-03-02,81,False
2014-03-09,81,False
2014-03-16,83,False
2014-03-23,90,False
2014-03-30,81,False
2014-04-06,98,False
2014-04-13,81,False
2014-04-20,89,False
2014-04-27,93,False
2014-05-04,100,False
2014-05-11,80,False
2014-05-18,85,False
2014-05-25,73,False
2014-06-01,79,False
2014-06-08,65,False
2014-06-15,62,False
2014-06-22,53,False
2014-06-29,56,False
2014-07-06,73,False
2014-07-13,59,False
2014-07-20,75,False
2014-07-27,86,False
2014-08-03,79,False
2014-08-10,65,False
2014-08-17,60,False
2014-08-24,67,False
2014-08-31,56,False
2014-09-07,89,False
2014-09-14,98,False
2014-09-21,73,False
2014-09-28,86,False
2014-10-05,96,False
2014-10-12,72,False
2014-10-19,92,False
2014-10-26,92,False
2014-11-02,88,False
2014-11-09,78,False
2014-11-16,81,False
2014-11-23,60,False
2014-11-30,63,False
2014-12-07,92,False
2014-12-14,76,False
2014-12-21,33,False
2014-12-28,54,False
