date,excluded,isPartial
2015-01-04,61,False
2015-01-11,84,False
2015-01-18,64,False
2015-01-25,83,False
2015-02-01,91,False
2015-02-08,75,False
2015-02-15,76,False
2015-02-22,100,False
2015-03-01,74,False
2015-03-08,87,False
2015-03-15,70,False
2015-03-22,61,False
2015-03-29,63,False
2015-04-05,79,False
2015-04-12,77,False
2015-04-19,91,False
2015-04-26,82,False
2015-05-03,71,False
2015-05-10,85,False
2015-05-17,74,False
2015-05-24,72,False
2015-05-31,66,False
2015-06-07,62,False
2015-06-14,45,False
2015-06-21,46,False
2015-06-28,61,False
2015-07-05,48,False
2015-07-12,63,False
2015-07-19,75,False
2015-07-26,70,False
2015-08-02,76,False
2015-08-09,60,False
2015-08-16,67,False
2015-08-23,64,False
2015-08-30,80,False
2015-09-06,64,False
2015-09-13,74,False
2015-09-20,78,False
2015-09-27,95,False
2015-10-04,67,False
2015-10-11,69,False
2015-10-18,92,False
2015-10-25,90,False
2015-11-01,91,False
2015-11-08,87,False
2015-11-15,93,False
2015-11-22,56,False
2015-11-29,84,False
2015-12-06,86,False
2015-12-13,78,False
2015-12-20,56,False
2015-12-27,34,False
