geoName,detriment
Alabama,97
Alaska,0
Arizona,49
Arkansas,53
California,59
Colorado,72
Connecticut,65
Delaware,0
District of Columbia,74
Florida,68
Georgia,52
Hawaii,74
Idaho,68
Illinois,44
Indiana,84
Iowa,70
Kansas,33
Kentucky,49
Louisiana,62
Maine,89
Maryland,91
Massachusetts,64
Michigan,52
Minnesota,35
Mississippi,100
Missouri,91
Montana,0
Nebraska,30
Nevada,58
New Hampshire,20
New Jersey,69
New Mexico,40
New York,61
North Carolina,72
North Dakota,0
Ohio,56
Oklahoma,89
Oregon,68
Pennsylvania,63
Rhode Island,0
South Carolina,24
South Dakota,98
Tennessee,62
Texas,54
Utah,61
Vermont,0
Virginia,34
Washington,72
West Virginia,53
Wisconsin,59
Wyoming,0
