geoName,detriment
Alabama,38
Alaska,0
Arizona,57
Arkansas,36
California,72
Colorado,65
Connecticut,92
Delaware,0
District of Columbia,100
Florida,54
Georgia,56
Hawaii,37
Idaho,48
Illinois,62
Indiana,63
Iowa,55
Kansas,57
Kentucky,65
Louisiana,73
Maine,98
Maryland,59
Massachusetts,64
Michigan,72
Minnesota,51
Mississippi,41
Missouri,61
Montana,0
Nebraska,67
Nevada,48
New Hampshire,80
New Jersey,76
New Mexico,25
New York,65
North Carolina,63
North Dakota,0
Ohio,57
Oklahoma,54
Oregon,70
Pennsylvania,77
Rhode Island,71
South Carolina,50
South Dakota,20
Tennessee,57
Texas,56
Utah,62
Vermont,0
Virginia,66
Washington,76
West Virginia,43
Wisconsin,90
Wyoming,0
