date,detriment,isPartial
2014-01-05,49,False
2014-01-12,45,False
2014-01-19,41,False
2014-01-26,41,False
2014-02-02,54,False
2014-02-09,60,False
2014-02-16,48,False
2014-02-23,100,False
2014-03-02,76,False
2014-03-09,65,False
2014-03-16,50,False
2014-03-23,39,False
2014-03-30,43,False
2014-04-06,66,False
2014-04-13,70,False
2014-04-20,47,False
2014-04-27,53,False
2014-05-04,55,False
2014-05-11,55,False
2014-05-18,42,False
2014-05-25,57,False
2014-06-01,33,False
2014-06-08,44,False
2014-06-15,38,False
2014-06-22,29,False
2014-06-29,50,False
2014-07-06,38,False
2014-07-13,65,False
2014-07-20,46,False
2014-07-27,40,False
2014-08-03,21,False
2014-08-10,37,False
2014-08-17,48,False
2014-08-24,49,False
2014-08-31,49,False
2014-09-07,80,False
2014-09-14,87,False
2014-09-21,100,False
2014-09-28,58,False
2014-10-05,83,False
2014-10-12,57,False
2014-10-19,85,False
2014-10-26,68,False
2014-11-02,75,False
2014-11-09,85,False
2014-11-16,100,False
2014-11-23,61,False
2014-11-30,68,False
2014-12-07,68,False
2014-12-14,83,False
2014-12-21,39,False
2014-12-28,32,False
