geoName,detriment
Alabama,46
Alaska,0
Arizona,42
Arkansas,100
California,40
Colorado,21
Connecticut,41
Delaware,0
District of Columbia,56
Florida,39
Georgia,39
Hawaii,48
Idaho,20
Illinois,35
Indiana,40
Iowa,53
Kansas,19
Kentucky,14
Louisiana,78
Maine,56
Maryland,29
Massachusetts,40
Michigan,42
Minnesota,42
Mississippi,76
Missouri,35
Montana,0
Nebraska,38
Nevada,79
New Hampshire,47
New Jersey,41
New Mexico,34
New York,29
North Carolina,30
North Dakota,0
Ohio,40
Oklahoma,18
Oregon,25
Pennsylvania,45
Rhode Island,82
South Carolina,42
South Dakota,39
Tennessee,28
Texas,37
Utah,53
Vermont,0
Virginia,41
Washington,39
West Virginia,0
Wisconsin,23
Wyoming,0
