date,detriment,isPartial
2012-01-01,45,False
2012-01-08,53,False
2012-01-15,56,False
2012-01-22,52,False
2012-01-29,49,False
2012-02-05,26,False
2012-02-12,62,False
2012-02-19,44,False
2012-02-26,53,False
2012-03-04,37,False
2012-03-11,32,False
2012-03-18,42,False
2012-03-25,45,False
2012-04-01,22,False
2012-04-08,57,False
2012-04-15,60,False
2012-04-22,54,False
2012-04-29,49,False
2012-05-06,57,False
2012-05-13,60,False
2012-05-20,48,False
2012-05-27,33,False
2012-06-03,37,False
2012-06-10,43,False
2012-06-17,30,False
2012-06-24,32,False
2012-07-01,22,False
2012-07-08,26,False
2012-07-15,23,False
2012-07-22,23,False
2012-07-29,26,False
2012-08-05,20,False
2012-08-12,39,False
2012-08-19,31,False
2012-08-26,72,False
2012-09-02,77,False
2012-09-09,84,False
2012-09-16,50,False
2012-09-23,100,False
2012-09-30,48,False
2012-10-07,55,False
2012-10-14,70,False
2012-10-21,63,False
2012-10-28,60,False
2012-11-04,70,False
2012-11-11,43,False
2012-11-18,45,False
2012-11-25,56,False
2012-12-02,43,False
2012-12-09,43,False
2012-12-16,42,False
2012-12-23,19,False
2012-12-30,36,False
