date,detriment,isPartial
2013-01-06,62,False
2013-01-13,47,False
2013-01-20,35,False
2013-01-27,58,False
2013-02-03,56,False
2013-02-10,41,False
2013-02-17,61,False
2013-02-24,53,False
2013-03-03,48,False
2013-03-10,44,False
2013-03-17,44,False
2013-03-24,33,False
2013-03-31,49,False
2013-04-07,57,False
2013-04-14,73,False
2013-04-21,60,False
2013-04-28,61,False
2013-05-05,49,False
2013-05-12,61,False
2013-05-19,48,False
2013-05-26,42,False
2013-06-02,38,False
2013-06-09,23,False
2013-06-16,33,False
2013-06-23,67,False
2013-06-30,46,False
2013-07-07,40,False
2013-07-14,55,False
2013-07-21,65,False
2013-07-28,50,False
2013-08-04,25,False
2013-08-11,43,False
2013-08-18,67,False
2013-08-25,61,False
2013-09-01,84,False
2013-09-08,88,False
2013-09-15,98,False
2013-09-22,85,False
2013-09-29,84,False
2013-10-06,75,False
2013-10-13,78,False
2013-10-20,84,False
2013-10-27,65,False
2013-11-03,89,False
2013-11-10,100,False
2013-11-17,61,False
2013-11-24,51,False
2013-12-01,63,False
2013-12-08,59,False
2013-12-15,68,False
2013-12-22,25,False
2013-12-29,28,False
