geoName,detriment
Alabama,44
Alaska,0
Arizona,48
Arkansas,42
California,49
Colorado,28
Connecticut,68
Delaware,0
District of Columbia,62
Florida,55
Georgia,54
Hawaii,56
Idaho,28
Illinois,30
Indiana,25
Iowa,20
Kansas,55
Kentucky,83
Louisiana,44
Maine,42
Maryland,46
Massachusetts,54
Michigan,45
Minnesota,40
Mississippi,16
Missouri,31
Montana,0
Nebraska,100
Nevada,12
New Hampshire,49
New Jersey,46
New Mexico,37
New York,53
North Carolina,50
North Dakota,0
Ohio,30
Oklahoma,88
Oregon,27
Pennsylvania,43
Rhode Island,31
South Carolina,36
South Dakota,0
Tennessee,40
Texas,54
Utah,34
Vermont,0
Virginia,50
Washington,51
West Virginia,79
Wisconsin,31
Wyoming,0
