geoName,detriment
Alabama,39
Alaska,0
Arizona,45
Arkansas,65
California,53
Colorado,39
Connecticut,100
Delaware,0
District of Columbia,37
Florida,52
Georgia,51
Hawaii,54
Idaho,28
Illinois,39
Indiana,72
Iowa,49
Kansas,54
Kentucky,67
Louisiana,33
Maine,72
Maryland,50
Massachusetts,40
Michigan,29
Minnesota,65
Mississippi,87
Missouri,60
Montana,0
Nebraska,25
Nevada,53
New Hampshire,86
New Jersey,55
New Mexico,46
New York,40
North Carolina,53
North Dakota,0
Ohio,49
Oklahoma,25
Oregon,24
Pennsylvania,70
Rhode Island,55
South Carolina,50
South Dakota,60
Tennessee,39
Texas,50
Utah,59
Vermont,0
Virginia,38
Washington,44
West Virginia,44
Wisconsin,45
Wyoming,0
