date,detriment,isPartial
2011-01-02,35,False
2011-01-09,45,False
2011-01-16,63,False
2011-01-23,59,False
2011-01-30,53,False
2011-02-06,65,False
2011-02-13,45,False
2011-02-20,63,False
2011-02-27,36,False
2011-03-06,39,False
2011-03-13,42,False
2011-03-20,25,False
2011-03-27,40,False
2011-04-03,36,False
2011-04-10,32,False
2011-04-17,66,False
2011-04-24,73,False
2011-05-01,43,False
2011-05-08,29,False
2011-05-15,33,False
2011-05-22,41,False
2011-05-29,19,False
2011-06-05,29,False
2011-06-12,71,False
2011-06-19,44,False
2011-06-26,19,False
2011-07-03,31,False
2011-07-10,29,False
2011-07-17,29,False
2011-07-24,18,False
2011-07-31,14,False
2011-08-07,35,False
2011-08-14,18,False
2011-08-21,59,False
2011-08-28,41,False
2011-09-04,41,False
2011-09-11,100,False
2011-09-18,56,False
2011-09-25,69,False
2011-10-02,46,False
2011-10-09,81,False
2011-10-16,45,False
2011-10-23,61,False
2011-10-30,62,False
2011-11-06,51,False
2011-11-13,41,False
2011-11-20,47,False
2011-11-27,42,False
2011-12-04,39,False
2011-12-11,64,False
2011-12-18,36,False
2011-12-25,20,False
