date,warning,isPartial
2015-01-04,42,False
2015-01-11,32,False
2015-01-18,32,False
2015-01-25,44,False
2015-02-01,37,False
2015-02-08,36,False
2015-02-15,42,False
2015-02-22,37,False
2015-03-01,38,False
2015-03-08,37,False
2015-03-15,36,False
2015-03-22,35,False
2015-03-29,36,False
2015-04-05,49,False
2015-04-12,41,False
2015-04-19,59,False
2015-04-26,39,False
2015-05-03,42,False
2015-05-10,48,False
2015-05-17,41,False
2015-05-24,56,False
2015-05-31,41,False
2015-06-07,47,False
2015-06-14,48,False
2015-06-21,59,False
2015-06-28,53,False
2015-07-05,46,False
2015-07-12,51,False
2015-07-19,44,False
2015-07-26,44,False
2015-08-02,46,False
2015-08-09,42,False
2015-08-16,51,False
2015-08-23,44,False
2015-08-30,40,False
2015-09-06,43,False
2015-09-13,100,False
2015-09-20,39,False
2015-09-27,46,False
2015-10-04,45,False
2015-10-11,39,False
2015-10-18,41,False
2015-10-25,46,False
2015-11-01,40,False
2015-11-08,43,False
2015-11-15,55,False
2015-11-22,43,False
2015-11-29,38,False
2015-12-06,39,False
2015-12-13,38,False
2015-12-20,49,False
2015-12-27,47,False
