date,warning,isPartial
2013-01-06,59,False
2013-01-13,61,False
2013-01-20,58,False
2013-01-27,78,False
2013-02-03,77,False
2013-02-10,58,False
2013-02-17,60,False
2013-02-24,59,False
2013-03-03,66,False
2013-03-10,54,False
2013-03-17,61,False
2013-03-24,60,False
2013-03-31,56,False
2013-04-07,71,False
2013-04-14,78,False
2013-04-21,59,False
2013-04-28,58,False
2013-05-05,56,False
2013-05-12,63,False
2013-05-19,89,False
2013-05-26,85,False
2013-06-02,73,False
2013-06-09,100,False
2013-06-16,62,False
2013-06-23,67,False
2013-06-30,71,False
2013-07-07,65,False
2013-07-14,97,False
2013-07-21,71,False
2013-07-28,65,False
2013-08-04,64,False
2013-08-11,65,False
2013-08-18,61,False
2013-08-25,58,False
2013-09-01,60,False
2013-09-08,62,False
2013-09-15,57,False
2013-09-22,61,False
2013-09-29,60,False
2013-10-06,68,False
2013-10-13,55,False
2013-10-20,59,False
2013-10-27,59,False
2013-11-03,56,False
2013-11-10,57,False
2013-11-17,84,False
2013-11-24,58,False
2013-12-01,61,False
2013-12-08,63,False
2013-12-15,56,False
2013-12-22,51,False
2013-12-29,57,False
