date,fatigued,isPartial
2016-01-03,71,False
2016-01-10,77,False
2016-01-17,67,False
2016-01-24,69,False
2016-01-31,69,False
2016-02-07,100,False
2016-02-14,79,False
2016-02-21,67,False
2016-02-28,86,False
2016-03-06,70,False
2016-03-13,82,False
2016-03-20,65,False
2016-03-27,59,False
2016-04-03,92,False
2016-04-10,99,False
2016-04-17,69,False
2016-04-24,63,False
2016-05-01,91,False
2016-05-08,93,False
2016-05-15,78,False
2016-05-22,70,False
2016-05-29,74,False
2016-06-05,92,False
2016-06-12,79,False
2016-06-19,66,False
2016-06-26,71,False
2016-07-03,63,False
2016-07-10,61,False
2016-07-17,77,False
2016-07-24,76,False
2016-07-31,59,False
2016-08-07,97,False
2016-08-14,70,False
2016-08-21,65,False
2016-08-28,93,False
2016-09-04,84,False
2016-09-11,98,False
2016-09-18,85,False
2016-09-25,80,False
2016-10-02,73,False
2016-10-09,97,False
2016-10-16,66,False
2016-10-23,60,False
2016-10-30,70,False
2016-11-06,49,False
2016-11-13,84,False
2016-11-20,63,False
2016-11-27,55,False
2016-12-04,75,False
2016-12-11,70,False
2016-12-18,58,False
2016-12-25,56,False
