date,fatigued,isPartial
2011-01-02,41,False
2011-01-09,76,False
2011-01-16,44,False
2011-01-23,35,False
2011-01-30,34,False
2011-02-06,69,False
2011-02-13,75,False
2011-02-20,48,False
2011-02-27,58,False
2011-03-06,65,False
2011-03-13,45,False
2011-03-20,69,False
2011-03-27,54,False
2011-04-03,35,False
2011-04-10,77,False
2011-04-17,35,False
2011-04-24,31,False
2011-05-01,58,False
2011-05-08,74,False
2011-05-15,66,False
2011-05-22,71,False
2011-05-29,53,False
2011-06-05,63,False
2011-06-12,84,False
2011-06-19,62,False
2011-06-26,60,False
2011-07-03,94,False
2011-07-10,62,False
2011-07-17,42,False
2011-07-24,56,False
2011-07-31,80,False
2011-08-07,52,False
2011-08-14,68,False
2011-08-21,70,False
2011-08-28,37,False
2011-09-04,77,False
2011-09-11,75,False
2011-09-18,56,False
2011-09-25,74,False
2011-10-02,74,False
2011-10-09,62,False
2011-10-16,59,False
2011-10-23,72,False
2011-10-30,66,False
2011-11-06,74,False
2011-11-13,53,False
2011-11-20,61,False
2011-11-27,100,False
2011-12-04,55,False
2011-12-11,36,False
2011-12-18,49,False
2011-12-25,50,False
