date,fatigued,isPartial
2013-01-06,74,False
2013-01-13,63,False
2013-01-20,67,False
2013-01-27,59,False
2013-02-03,65,False
2013-02-10,62,False
2013-02-17,76,False
2013-02-24,74,False
2013-03-03,81,False
2013-03-10,89,False
2013-03-17,81,False
2013-03-24,78,False
2013-03-31,71,False
2013-04-07,90,False
2013-04-14,78,False
2013-04-21,91,False
2013-04-28,90,False
2013-05-05,93,False
2013-05-12,85,False
2013-05-19,67,False
2013-05-26,90,False
2013-06-02,61,False
2013-06-09,74,False
2013-06-16,74,False
2013-06-23,54,False
2013-06-30,95,False
2013-07-07,78,False
2013-07-14,88,False
2013-07-21,97,False
2013-07-28,64,False
2013-08-04,81,False
2013-08-11,64,False
2013-08-18,77,False
2013-08-25,73,False
2013-09-01,77,False
2013-09-08,82,False
2013-09-15,74,False
2013-09-22,100,False
2013-09-29,80,False
2013-10-06,94,False
2013-10-13,59,False
2013-10-20,88,False
2013-10-27,78,False
2013-11-03,88,False
2013-11-10,53,False
2013-11-17,80,False
2013-11-24,47,False
2013-12-01,89,False
2013-12-08,44,False
2013-12-15,73,False
2013-12-22,59,False
2013-12-29,44,False
